192.31.114.0/24,IN,IN-KA,Bengaluru,
149.82.52.0/22,IN,IN-KA,Bengaluru,
2620:113:8082::/48,IN,IN-KA,Bengaluru,
2620:113:80c3::/48,GB,GB-WBK,Newbury,
143.186.125.0/24,GB,GB-WBK,Newbury,
129.84.0.0/24,CA,CA-ON,Cambridge,
129.84.1.0/24,CA,CA-QC,Montreal,
130.57.0.0/16,US,US-UT,Provo,
2620:113:8044::/48,US,US-UT,Provo,
137.65.0.0/16,US,US-UT,Provo,
